Reference, Value, Footprint, Datasheet
C79,150pF,HERMESLITE:C_0805,
U3,74LS145,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
D16,DIODE,Diodes_SMD:Diode-SMA_Standard,
C83,1000pF,HERMESLITE:C_0805,
D17,DIODE,Diodes_SMD:Diode-SMA_Standard,
L39,4700nH,HERMESLITE:Choke_SMD_1206_Standard,
L40,4700uH,HERMESLITE:Choke_SMD_1206_Standard,
C84,0.01uF,HERMESLITE:C_0805,
C85,0.01uF,HERMESLITE:C_0805,
R14,1k,HERMESLITE:R_0805,
Q4,2N7000,SMD_Packages:SOT-23-GDS,
D2,DIODE,Diodes_SMD:Diode-SMA_Standard,
D1,DIODE,Diodes_SMD:Diode-SMA_Standard,
D3,DIODE,Diodes_SMD:Diode-SMA_Standard,
D4,DIODE,Diodes_SMD:Diode-SMA_Standard,
D5,DIODE,Diodes_SMD:Diode-SMA_Standard,
R13,1k,HERMESLITE:R_0805,
